#Möjliga fel avseende undersökningperiod,denna poll eller den före eller efter,,,
,,,Kommentar,Klar
Sifo,2021-03-12,2021-03-01--2021-03-11,Följande mätning fel,Ja
Sentio,2020-09-22,2020-09-17--2020-09-20,Saknar access,Nej
Novus,2018-08-22,2018-08-13--2018-08-21,Följande mätning fel,Ja
Skop,2018-06-26,2018-05-08--2018-06-22,Fel datum.,Ja
Sifo,2017-02-09,2017-01-31--2017-02-08,"Fel datum, men följande mätning överlappar fortfarande med en dag.",Ja
Sifo,2016-05-05,2016-04-25--2016-05-03,Rätt datum. Liten överlappning med nästa mätning pga av extramätning.,Ja
United Minds,2011-03-14,2011-02-14--2011-03-13,,
Sentio,2011-03-07,2011-03-14--2011-03-27,,
Skop,2010-12-27,2010-11-28--2010-12-16,,
Ipsos,2008-10-18,2008-09-29--2008-10-16,,
Skop,2007-05-02,2007-03-26--2007-04-26,,
,,,,
#approxPeriod == TRUE:,,,Kommentar,Klar
Sentio,2022-04-01,2022-03-24--2022-03-29,Saknar access,Nej
Sentio,2022-03-07,2022-02-28--2022-03-02,Saknar access,Nej
Ipsos,2022-02-22,2022-02-13--2022-02-21,Korrigerat,Ja
Sentio,2022-02-07,2022-01-28--2022-01-30,Saknar access,Nej
Ipsos,2022-01-25,2022-01-11--2022-01-24,Korrigerat,Ja
Sentio,2021-12-26,2021-12-17--2021-12-23,Saknar access,Nej
Ipsos,2021-12-23,2021-12-07--2021-12-20,Korrigerat,Ja
Sentio,2021-10-08,2021-09-24--2021-10-04,Saknar access,Nej
Sentio,2021-09-05,2021-08-18--2021-08-28,Saknar access,Nej
Sentio,2021-08-05,2021-07-20--2021-07-28,Saknar access,Nej
Sentio,2021-07-12,2021-07-01--2021-07-10,Saknar access,Nej
Sentio,2021-06-27,2021-06-18--2021-06-25,Saknar access,Nej
Sentio,2021-05-31,2021-05-21--2021-05-24,Saknar access,Nej
Ipsos,2021-05-29,2021-05-13--2021-05-25,Korrigerat,Ja
Sentio,2021-04-28,2021-04-23--2021-04-26,Saknar access,Nej
Sentio,2021-04-07,2021-03-26--2021-03-29,Saknar access,Nej
Sentio,2021-03-08,2021-02-25--2021-02-28,Saknar access,Nej
Ipsos,2021-02-24,2021-02-18--2021-02-23,Korrigerat,Ja
Ipsos,2021-01-27,2021-01-21--2021-01-25,Korrigerat,Ja
Sentio,2020-12-21,2020-12-11--2020-12-14,Saknar access,Nej
Ipsos,2020-12-15,2020-11-28--2020-12-12,Korrigerat,Ja
Ipsos,2020-10-28,2020-10-11--2020-10-23,Korrigerat,Ja
Sentio,2020-10-26,2020-10-15--2020-10-18,Saknar access,Nej
Sentio,2020-09-25,2020-09-16--2020-09-22,Saknar access,Nej
Sentio,2020-09-22,2020-09-17--2020-09-20,Saknar access,Nej
Sentio,2020-09-04,2020-08-20--2020-08-25,Saknar access,Nej
Sentio,2020-07-16,2020-07-10--2020-07-12,Saknar access,Nej
Sentio,2020-06-24,2020-06-12--2020-06-15,Saknar access,Nej
Ipsos,2020-06-23,2020-06-02--2020-06-15,Korrigerat,Ja
Sentio,2020-05-26,2020-05-15--2020-05-18,Saknar access,Nej
Sifo,2020-04-09,2020-03-29--2020-04-08,Korrigerat,Ja
Sentio,2020-03-26,2020-03-20--2020-03-24,Saknar access,Nej
Sentio,2020-01-30,2020-01-24--2020-01-28,Saknar access,Nej
Sifo,2020-01-17,2020-01-02--2020-01-15,Korrigerat,Ja
Sentio,2019-10-25,2019-10-18--2019-10-24,Saknar access,Nej
Inizio,2019-06-27,2019-06-20--2019-06-26,Saknar access,Nej
Demoskop,2019-06-07,2019-05-26--2019-06-03,Saknar access,Nej
Sentio,2019-02-27,2019-02-22--2019-02-25,Saknar access,Nej
Sentio,2018-11-10,2018-10-31--2018-11-05,Saknar access,Nej
Skop,2018-09-09,2018-09-02--2018-09-07,Korrigerat,Ja
Sifo,2018-09-04,2018-08-29--2018-09-03,Saknar access,Nej
Sifo,2018-09-03,2018-08-28--2018-09-02,Saknar access,Nej
Sentio,2018-08-31,2018-08-20--2018-08-28,Saknar access,Nej
Sifo,2018-08-31,2018-08-27--2018-08-30,Saknar access,Nej
Sifo,2018-08-30,2018-08-26--2018-08-29,Saknar access,Nej
Sifo,2018-08-29,2018-08-25--2018-08-28,Saknar access,Nej
Sifo,2018-08-28,2018-08-24--2018-08-27,Saknar access,Nej
YouGov,2017-09-20,2017-09-14--2017-09-18,,
YouGov,2017-07-16,2017-07-15--2017-07-15,,
Skop,2017-01-15,2016-12-15--2017-01-15,,
YouGov,2016-08-19,2016-07-01--2016-07-31,,
Skop,2016-06-30,2016-06-01--2016-06-20,,
,,,,
,,,,
#Missing values,antal observationer n,,Kommentar,Klar
Sentio,2021-12-26,2021-12-17--2021-12-23,Hittar inga uppgifter,Nej
Sentio,2021-10-08,2021-09-24--2021-10-04,Hittar inga uppgifter,Nej
Sentio,2021-09-05,2021-08-18--2021-08-28,Hittar inga uppgifter,Nej
Sentio,2021-08-05,2021-07-20--2021-07-28,Hittar inga uppgifter,Nej
Sentio,2021-07-12,2021-07-01--2021-07-10,Hittar inga uppgifter,Nej
Sentio,2021-06-27,2021-06-18--2021-06-25,Hittar inga uppgifter,Nej
Sentio,2021-04-07,2021-03-26--2021-03-29,Hittar inga uppgifter,Nej
Demoskop,2020-03-07,2020-02-25--2020-03-03,Hittar ingen info på deras sajt.,Nej
Sifo,2020-02-14,2020-02-03--2020-02-13,Kompletterat.,Ja
Ipsos,2020-01-28,2020-01-14--2020-01-27,Kompletterat.,Ja
Sifo,2020-01-17,2020-01-02--2020-01-15,Kompletterat. Även fel datum.,Ja
Ipsos,2019-03-27,2019-03-12--2019-03-25,Kompletterat.,Ja
Ipsos,2019-02-21,2019-02-07--2019-02-20,Kompletterat.,Ja
Ipsos,2019-01-23,2019-01-10--2019-01-20,Kompletterat.,Ja
Inizio,2018-11-21,2018-11-14--2018-11-19,Hittar inga uppgifter,Nej
Sentio,2018-11-10,2018-10-31--2018-11-05,Hittar inga uppgifter,Nej
Sifo,2018-10-04,2018-09-24--2018-10-02,Kompletterat. Även fel datum.,Ja
SVT,2018-09-09,2018-09-09--2018-09-09,Kompletterat.,Ja
Skop,2018-09-07,2018-09-02--2018-09-07,Kompletterat.,Ja
Sifo,2018-09-04,2018-08-29--2018-09-03,Hittar inga uppgifter,Ja
Sifo,2018-09-03,2018-08-28--2018-09-02,Hittar inga uppgifter,Nej
Sifo,2018-08-31,2018-08-27--2018-08-30,Hittar inga uppgifter,Nej
Sifo,2018-08-30,2018-08-26--2018-08-29,Hittar inga uppgifter,Nej
Sifo,2018-08-29,2018-08-25--2018-08-28,Hittar inga uppgifter,Nej
Sifo,2018-08-28,2018-08-24--2018-08-27,Hittar inga uppgifter,Nej
YouGov,2017-07-16,2017-07-15--2017-07-15,,
YouGov,2016-08-19,2016-07-01--2016-07-31,,
Sentio,2012-04-01,NA--NA,,
SCB,2008-12-10,NA--NA,,
SCB,2007-12-13,NA--NA,edi,
